cluster,count,keywords
0,97,还会、下次 还会、下次、还会 选择、选择、服务、花园酒店、满意、选择 花园酒店、体验、前台、环境、特别、不错、体验 下次
1,471,花园酒店、服务、体验、博物馆、特别、前台、大堂、下次、选择、专业、喜欢、值得、这次、环境、五星级
2,152,服务、前台、小姐姐、一流、满意、前台 小姐姐、环境、花园酒店、周到、特别、装修、宾至如归、细心、感谢、服务 一流
3,119,就是、方便、地铁、服务、工作人员、服务 人员、人员、出行、出门、热情、位置、出行 方便、出门 就是、不错、就是 地铁
4,272,餐厅、瀑布、早餐、瀑布 餐厅、不错、博物馆、服务、就是、体验、荔湾、很多、好吃、自助、很棒、环境
5,54,交通 便利、便利、交通、服务、便利 出门、环境、地铁站、就是、位置、出门 就是、出门、不错、服务态度、干净、前台
6,48,优越、地理位置、地理位置 优越、服务、花园酒店、方便、不错、地铁、早餐、选择、很大、位置 优越、优越 服务、环境、地铁站
7,189,干净、卫生、设施、服务、整洁、环境、干净 整洁、卫生 干净、舒适、齐全、设施 齐全、大堂、热情、服务态度、干净 卫生
8,110,五星、老牌、老牌 五星、不愧 老牌、服务、不愧、设施、老牌 五星级、不错、五星 服务、环境、五星级、下次、就是、特别
9,263,不错、服务、环境、前台、有点、设施、环境 不错、浴缸、办理、就是、施工、早餐、一般、客房、大堂
10,117,升级、套房、升级 套房、免费、免费 升级、前台、服务、还给、满意、不错、体验、还给 升级、房型、早餐、特别
11,130,方便、交通、交通 方便、出行、出行 方便、地铁站、位置、不错、服务、地铁、就是、淘金、旁边、环境、舒服
12,149,酒廊、行政、行政 酒廊、carrie、服务、早餐、下午茶、热情、酒廊 carrie、特别、花园酒店、餐厅、欢乐、欢乐 时光、时光
