qid,query,type,expected_intents
1,这家酒店适合带孩子住吗？交通和早餐怎么样？,多意图,亲子;交通;早餐
2,最近花园大床房隔音怎么样？晚上会不会吵？,约束+时效,花园大床房;隔音;最近;噪音
3,套房和普通房间差别大吗？值不值得升级？,比较型,套房;普通房;差异;升级;性价比
4,商务出差住这里方便吗？办公和交通条件怎么样？,场景型,商务;办公;交通
5,带老人入住会不会不方便？房间和服务怎么样？,人群场景,老人;房间;服务;便利性
6,酒店整体值不值得住？有没有明显缺点？,模糊体验型,整体体验;推荐;缺点
7,最近服务质量怎么样？入住退房效率有没有问题？,时效+多意图,最近;服务;入住效率;退房效率
8,花园双床房适合家庭住吗？房间空间和卫生怎么样？,约束+多意图,花园双床房;家庭;空间;卫生
9,早餐好不好吃？人多的时候会不会排队？,多意图,早餐;味道;排队
10,酒店位置方便吗？周边吃饭和地铁情况怎么样？,多意图,位置;周边餐饮;地铁;交通
11,房间设施是不是比较旧？但卫生和服务能不能接受？,多意图,房间设施;新旧;卫生;服务
12,亲子主题房体验怎么样？孩子会喜欢吗？,约束+人群,亲子主题房;儿童;亲子体验
13,行政酒廊和下午茶值得体验吗？服务好吗？,多意图,行政酒廊;下午茶;服务
14,价格偏高吗？和酒店服务设施比起来值不值？,比较型,价格;服务;设施;性价比
15,临街房间吵不吵？如果睡眠浅适合住吗？,约束+人群,临街房间;噪音;睡眠
16,酒店适合度假吗？花园景观和餐饮体验怎么样？,场景型,度假;花园景观;餐饮
17,红棉大床套房住起来怎么样？空间、设施和服务都好吗？,约束+多意图,红棉大床套房;空间;设施;服务
18,现在入住体验还好吗？老酒店设施会不会影响舒适度？,时效+模糊体验,现在;入住体验;老酒店;设施;舒适度
19,如果第一次来广州住这里合适吗？交通和周边方便吗？,场景型,第一次来广州;交通;周边配套
20,这家酒店有哪些优点和槽点？适合推荐给朋友吗？,模糊体验型,优点;缺点;推荐
21,停车方便吗？自驾入住会不会有额外麻烦？,场景型,停车;自驾;便利性
22,房间小不小？带两个孩子住会不会局促？,人群场景,房间空间;亲子;家庭
23,会员权益和升房体验怎么样？会不会有落差？,多意图,会员权益;升房;体验落差
24,酒店卫生靠谱吗？卫生间和床品有没有被吐槽？,多意图,卫生;卫生间;床品;负面反馈
25,这家酒店适合开会或接待客户吗？环境和服务够不够体面？,场景型,会议;客户接待;环境;服务
